bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0572,0.07467487,76.62,75.42,78.44
0574,0.10961131,112.46,110.71,112.86
0575,0.08395073,86.13,84.79,87.57
0576,0.10741403,110.21,108.49,110.69
0578,0.07565006,77.62,76.41,79.4
0579,0.09604057,98.54,97.0,99.49
0580,0.10111169,103.74,102.12,104.48
0582,0.10489128,107.62,105.94,108.21
0587,0.07505055,77.0,75.8,78.81
0588,0.08313376,85.3,83.97,86.77
0591,0.09820156,100.75,99.18,101.61
0592,0.15198909,155.94,153.51,154.61
0595,0.09094862,93.31,91.86,94.47
0597,0.08976595,92.1,90.66,93.3
0599,0.08984963,92.19,90.75,93.39
0601,0.11047949,113.35,111.58,113.71
0602,0.07325954,75.16,73.99,77.04
0603,0.06944098,71.25,70.14,73.28
0605,0.08251977,84.67,83.34,86.16
0606,0.06283459,64.47,63.46,66.77
0608,0.06812255,69.89,68.8,71.98
0610,0.09486453,97.33,95.81,98.33
0611,0.09574753,98.24,96.71,99.2
0612,0.06698289,68.72,67.65,70.86
0613,0.11398386,116.95,115.12,117.16
0618,0.04883262,50.1,49.32,52.97
0620,0.10754141,110.34,108.62,110.82
0623,0.07051768,72.35,71.22,74.34
0625,0.06453957,66.22,65.18,68.45
0629,0.11853902,121.62,119.72,121.65
0632,0.07410218,76.03,74.84,77.87
0633,0.14140198,145.08,142.82,144.18
0634,0.07942036,81.49,80.21,83.11
0636,0.09879478,101.36,99.78,102.2
0637,0.08003951,82.12,80.84,83.72
0638,0.06651992,68.25,67.19,70.4
0639,0.09393441,96.38,94.87,97.41
0641,0.08379174,85.97,84.63,87.42
0643,0.06734894,69.1,68.02,71.22
0647,0.13055401,133.95,131.86,133.49
0648,0.09261882,95.03,93.55,96.11
0650,0.07522785,77.18,75.98,78.98
0652,0.08589489,88.13,86.75,89.49
0653,0.09453942,97.0,95.48,98.01
0654,0.09771589,100.26,98.69,101.14
0657,0.07210994,73.98,72.83,75.91
0658,0.08760757,89.89,88.48,91.18
0659,0.09311292,95.53,94.04,96.6
0660,0.13210416,135.54,133.43,135.02
0661,0.14554387,149.33,147.0,148.26
0664,0.10897203,111.81,110.06,112.23
0666,0.09723201,99.76,98.2,100.66
0667,0.07970982,81.78,80.51,83.4
0669,0.07472364,76.67,75.47,78.48
0670,0.06704251,68.79,67.71,70.92
0671,0.07296238,74.86,73.69,76.75
1031,0.1097162,112.57,110.81,112.96
1036,0.08287467,85.03,83.7,86.51
1040,0.06609461,67.81,66.76,69.98
1041,0.07669018,78.68,77.46,80.42
1044,0.07475926,76.7,75.51,78.52
1045,0.09739474,99.93,98.37,100.82
1046,0.07796706,79.99,78.75,81.68
1048,0.08150485,83.62,82.32,85.16
1049,0.11525322,118.25,116.41,118.41
1051,0.07209788,73.97,72.82,75.9
1052,0.08933107,91.65,90.22,92.87
1054,0.0619321,63.54,62.55,65.88
1055,0.07365991,75.58,74.4,77.44
1059,0.0783563,80.39,79.14,82.06
1064,0.07604087,78.02,76.8,79.78
1065,0.07616575,78.15,76.93,79.9
1066,0.09910685,101.68,100.1,102.51
1067,0.09509485,97.57,96.05,98.55
1069,0.06556137,67.27,66.22,69.46
1072,0.12286876,126.06,124.1,125.92
1073,0.0705591,72.39,71.26,74.38
1075,0.09571711,98.21,96.67,99.17
1080,0.09464087,97.1,95.59,98.11
1082,0.08179862,83.93,82.62,85.45
1085,0.0959884,98.48,96.95,99.43
1090,0.10620578,108.97,107.27,109.5
1092,0.08376288,85.94,84.6,87.39
1093,0.08244268,84.59,83.27,86.09
1094,0.07397745,75.9,74.72,77.75
1097,0.06864911,70.43,69.34,72.5
1099,0.07480463,76.75,75.55,78.56
1103,0.10094452,103.57,101.95,104.32
1104,0.08618625,88.43,87.05,89.78
1106,0.06682343,68.56,67.49,70.7
1108,0.06640651,68.13,67.07,70.29
1110,0.05659105,58.06,57.16,60.62
1111,0.07959293,81.66,80.39,83.28
1113,0.08987045,92.21,90.77,93.41
1114,0.09010809,92.45,91.01,93.64
1115,0.06180095,63.41,62.42,65.75
1117,0.08141513,83.53,82.23,85.08
1119,0.07503833,76.99,75.79,78.79
1120,0.07073445,72.57,71.44,74.55
1122,0.1521103,156.07,153.63,154.73
1126,0.08638339,88.63,87.25,89.97
1129,0.06168303,63.29,62.3,65.64
1131,0.09488293,97.35,95.83,98.34
1135,0.08910013,91.42,89.99,92.65
1143,0.11045478,113.33,111.56,113.69
1145,0.06157669,63.18,62.19,65.53
1146,0.09705068,99.57,98.02,100.48
1149,0.10199059,104.64,103.01,105.35
1151,0.09712385,99.65,98.1,100.55
1153,0.08370686,85.88,84.54,87.33
1154,0.05487807,56.3,55.43,58.93
1155,0.07449089,76.43,75.24,78.25
1156,0.0608986,62.48,61.51,64.86
1159,0.1050184,107.75,106.07,108.33
1161,0.09829832,100.85,99.28,101.71
1165,0.08111771,83.23,81.93,84.78
1170,0.08501314,87.22,85.86,88.62
1173,0.10039676,103.01,101.4,103.78
1176,0.07167844,73.54,72.4,75.48
1179,0.12313389,126.34,124.37,126.18
1181,0.06224333,63.86,62.87,66.19
1185,0.10801131,110.82,109.09,111.28
1186,0.07416501,76.09,74.91,77.93
1187,0.06980994,71.63,70.51,73.64
1188,0.07529082,77.25,76.04,79.04
1189,0.08950327,91.83,90.4,93.04
1190,0.09910868,101.69,100.1,102.51
1191,0.08170548,83.83,82.52,85.36
1192,0.09104169,93.41,91.95,94.56
1193,0.08882073,91.13,89.71,92.37
1196,0.08108185,83.19,81.89,84.75
1199,0.07038494,72.21,71.09,74.21
1203,0.07456794,76.51,75.31,78.33
1204,0.1096121,112.46,110.71,112.86
1205,0.08684274,89.1,87.71,90.42
1206,0.0747113,76.65,75.46,78.47
1211,0.08128766,83.4,82.1,84.95
1216,0.0776481,79.67,78.42,81.36
1218,0.08049277,82.59,81.3,84.17
1219,0.06146398,63.06,62.08,65.42
1223,0.09548183,97.96,96.44,98.93
1224,0.07419909,76.13,74.94,77.97
1228,0.10794593,110.75,109.03,111.21
1230,0.08717786,89.44,88.05,90.75
1232,0.08058851,82.68,81.39,84.26
1234,0.0895278,91.86,90.42,93.07
1236,0.06947037,71.28,70.17,73.31
1238,0.08476367,86.97,85.61,88.38
1243,0.09224012,94.64,93.16,95.74
1244,0.1092202,112.06,110.31,112.47
1245,0.07941964,81.48,80.21,83.11
1247,0.08112221,83.23,81.93,84.79
1248,0.09737269,99.9,98.35,100.8
1252,0.09562877,98.12,96.59,99.08
1255,0.08606034,88.3,86.92,89.65
1256,0.09016389,92.51,91.07,93.7
1257,0.07887614,80.93,79.66,82.57
1258,0.07489724,76.84,75.65,78.65
1259,0.12476077,128.0,126.01,127.78
1260,0.15370698,157.7,155.24,156.3
1261,0.07505477,77.01,75.81,78.81
1264,0.09610567,98.6,97.07,99.55
1265,0.06286694,64.5,63.5,66.8
1266,0.07829413,80.33,79.08,82.0
1267,0.07948484,81.55,80.28,83.17
1268,0.06835484,70.13,69.04,72.21
1271,0.08081996,82.92,81.63,84.49
1272,0.06405636,65.72,64.7,67.97
1274,0.06690926,68.65,67.58,70.78
1275,0.07396103,75.88,74.7,77.73
1276,0.10966016,112.51,110.76,112.9
1278,0.08017786,82.26,80.98,83.86
1282,0.10903265,111.87,110.12,112.29
1286,0.1142009,117.17,115.34,117.38
1288,0.09725673,99.79,98.23,100.68
1292,0.09009218,92.43,90.99,93.62
1293,0.07308187,74.98,73.81,76.87
1295,0.09169652,94.08,92.61,95.21
1306,0.082911,85.07,83.74,86.55
1308,0.09075507,93.11,91.66,94.28
1317,0.07808521,80.12,78.87,81.8
1318,0.09465833,97.12,95.6,98.12
1320,0.07703236,79.04,77.8,80.76
