weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
103.7,187.2,43.4,107.2,99.3,107.8,126.9,68.6,45.6,41.4,24.6,33.3,19.4,16.4,66.2,31.3,89.2,38.2,48.0,27.3,58.8
81.1,171.3,41.8,106.3,91.5,100.5,120.8,60.3,40.0,39.1,22.7,32.3,17.9,13.5,58.7,26.4,79.9,42.3,41.1,27.5,58.1
63.9,174.7,37.6,91.3,74.1,92.3,104.0,51.6,35.8,37.0,20.8,30.0,17.3,15.1,55.0,26.1,79.6,43.6,41.3,22.8,57.2
67.2,172.6,41.8,95.5,76.9,92.4,111.8,55.5,38.0,35.6,21.8,27.9,17.3,14.3,57.7,25.5,78.2,43.1,38.6,22.3,55.1
75.5,177.4,44.2,94.3,84.9,96.1,118.3,58.2,36.9,34.9,21.1,29.0,16.7,14.1,59.1,27.3,83.1,43.5,40.4,23.0,55.1
82.9,171.8,42.7,107.3,96.1,102.1,122.7,60.8,40.4,38.8,22.1,32.2,18.0,14.5,58.8,25.6,79.0,40.0,40.0,24.9,58.6
95.6,174.0,45.7,109.8,96.7,107.9,125.8,68.7,41.7,40.8,22.7,31.9,18.6,15.5,60.8,28.5,83.1,39.7,40.4,28.0,60.2
81.5,175.5,42.8,96.5,87.4,98.1,119.4,62.8,42.2,40.1,25.4,32.7,19.1,13.8,58.8,27.3,86.4,37.0,42.2,23.0,60.5
71.7,173.2,41.0,94.7,86.6,94.5,111.8,59.1,38.6,38.9,22.6,29.3,16.5,12.4,60.3,26.6,85.9,40.1,42.7,22.4,55.0
65.9,168.5,39.5,92.3,71.9,93.5,107.2,56.3,37.9,35.6,20.2,28.0,16.2,14.6,54.0,26.2,81.3,39.2,40.7,21.9,55.8
71.5,176.4,42.3,93.9,79.5,94.1,116.1,54.7,39.6,37.0,23.2,27.5,17.4,14.2,59.9,27.1,84.1,41.0,41.6,22.2,55.8
106.9,171.1,42.6,114.8,117.3,123.9,119.3,78.7,49.0,43.5,22.7,33.3,16.8,13.8,57.6,25.5,76.4,40.9,39.9,29.6,55.8
75.0,176.6,41.7,101.7,80.3,93.3,116.7,56.5,39.5,38.7,23.0,30.7,18.1,14.6,56.8,25.5,81.6,41.6,41.2,24.8,56.3
72.3,167.2,39.8,97.2,80.3,95.4,114.7,58.1,39.2,39.7,25.0,31.4,16.7,12.8,55.2,25.0,75.4,41.7,38.0,23.5,55.4
89.6,171.0,40.8,105.3,93.8,107.0,122.5,67.7,45.0,44.2,25.4,31.9,17.8,15.3,56.4,25.9,76.7,40.8,38.0,25.2,59.4
90.2,172.6,44.3,108.6,99.1,104.9,120.8,66.4,42.9,40.4,23.9,31.2,17.6,14.0,58.5,26.3,80.5,41.2,38.3,27.0,56.9
68.2,182.5,42.0,95.2,77.3,92.0,115.4,54.3,36.4,33.2,20.5,29.3,17.8,14.9,64.9,29.2,87.4,44.8,42.2,22.7,56.2
92.6,178.9,45.5,109.2,100.1,106.2,125.4,65.3,42.3,41.1,23.3,32.3,18.4,14.7,61.2,27.2,81.7,43.4,42.3,26.3,59.7
73.9,166.1,40.5,100.2,90.8,97.2,112.1,59.8,38.7,36.4,21.5,29.7,16.9,12.9,57.5,25.1,75.3,40.8,36.9,24.0,57.3
79.2,173.5,40.9,99.2,91.6,98.8,114.1,60.6,40.0,37.7,22.3,30.5,17.7,15.4,57.2,26.0,83.2,40.2,42.1,25.0,57.4
84.4,187.8,42.6,98.8,81.8,96.7,117.6,58.5,40.7,40.5,24.3,32.7,19.0,14.9,64.4,29.4,92.8,45.3,47.4,23.4,59.3
74.6,174.0,42.5,100.0,90.3,96.8,118.6,57.6,38.8,37.9,21.7,30.0,17.0,16.0,62.3,27.5,80.6,45.6,40.1,23.9,57.1
74.0,173.8,41.1,92.8,85.2,96.2,118.0,55.2,38.4,36.5,22.0,29.5,17.7,16.2,62.0,28.2,83.3,39.9,43.1,22.5,58.4
88.7,183.7,41.0,109.6,96.8,102.0,121.8,62.1,40.7,38.3,23.1,29.5,17.2,16.3,63.5,27.9,87.2,42.7,45.0,27.0,58.3
83.6,174.3,43.0,101.2,94.4,102.1,118.3,63.7,38.4,39.0,23.5,30.7,17.5,14.3,59.3,26.5,81.8,39.9,42.7,24.0,58.6
84.2,186.9,43.4,98.6,83.8,103.5,118.8,63.5,40.8,39.0,23.2,33.5,18.2,15.0,63.5,27.8,90.9,44.3,44.3,24.4,55.6
81.0,183.3,40.3,99.9,84.5,97.2,123.3,56.5,39.1,39.3,23.4,29.1,17.4,15.1,66.9,27.7,91.6,40.9,45.9,23.7,58.1
71.7,164.4,40.3,100.5,89.1,95.2,113.8,59.7,39.0,34.4,19.6,31.0,16.7,14.3,56.2,26.8,76.7,37.8,41.0,26.0,55.5
81.1,177.1,41.8,99.8,87.6,102.8,115.1,63.7,39.0,38.0,22.8,30.6,17.8,13.5,57.5,26.7,79.5,44.3,41.3,24.5,58.8
92.7,177.8,43.2,109.7,95.6,104.8,126.8,62.9,44.6,40.8,24.5,33.1,19.0,14.0,62.4,26.7,84.2,42.6,42.7,26.2,58.6
86.3,190.7,44.6,102.4,86.2,99.0,121.0,61.3,40.7,39.0,23.2,29.5,18.0,16.1,68.1,30.6,93.8,49.3,47.0,25.8,57.1
65.1,180.6,41.0,91.9,76.7,89.9,113.3,49.7,35.9,34.8,21.0,28.2,17.3,15.3,62.6,28.6,89.1,45.0,46.4,18.8,55.1
88.8,191.3,43.3,99.3,85.6,104.5,116.5,62.3,44.6,41.2,24.9,32.5,19.0,16.7,63.1,28.9,92.0,44.2,45.8,24.2,56.7
74.8,187.9,40.8,102.3,80.9,94.0,118.1,55.9,38.5,36.8,22.5,27.5,16.8,16.0,64.2,28.5,90.9,45.0,47.9,24.4,57.9
80.0,182.5,39.6,102.7,90.4,98.6,117.4,55.8,38.2,36.0,21.9,27.8,17.2,15.8,63.0,28.3,83.6,43.4,44.2,25.0,57.0
