bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2267,91.88,171.34,41.24,110.8,100.09,107.26,120.51,63.71,41.82,41.74,23.36,33.81,18.62,15.23,56.53,25.93,80.74,50.82,37.63,26.99,59.9
SPRING2270,99.02,174.62,46.1,116.81,104.19,107.81,127.97,65.76,43.55,42.72,23.77,33.2,18.62,14.95,58.52,26.48,83.83,48.11,40.81,28.22,55.65
SPRING2271,85.5,174.17,38.82,103.58,93.85,102.7,118.74,61.82,39.82,39.21,22.43,31.48,18.73,16.55,57.9,26.63,82.69,50.52,38.61,24.42,59.21
SPRING2277,183.72,173.21,53.7,149.02,159.91,169.06,142.3,78.26,57.26,53.08,33.15,37.74,22.11,15.11,62.34,28.76,68.73,49.29,41.93,38.32,60.36
SPRING2279,122.42,181.02,44.1,121.49,122.35,123.22,133.48,72.19,46.68,42.86,22.96,35.53,19.81,16.14,59.48,27.86,83.1,51.5,40.34,30.38,58.08
SPRING2285,120.56,181.1,48.05,126.64,108.53,115.89,139.66,73.93,46.01,43.65,25.17,36.1,20.53,16.12,61.66,28.35,86.38,43.51,47.57,30.5,60.57
SPRING2288,108.92,173.63,45.15,118.87,119.56,119.75,128.51,70.66,45.56,39.15,21.77,34.21,18.7,15.58,58.59,26.4,82.6,51.54,39.69,28.14,59.44
SPRING2289,87.62,172.25,42.49,107.94,101.36,102.16,118.67,58.25,39.77,37.65,21.84,31.65,18.93,15.12,56.01,25.35,81.36,50.43,40.29,26.65,57.49
SPRING2290,73.81,172.71,40.04,99.27,89.05,94.83,115.0,56.73,37.15,35.69,19.66,29.56,17.73,15.41,58.6,28.47,81.63,47.51,41.8,23.71,60.97
SPRING2293,82.59,183.67,41.21,100.08,89.31,102.14,117.18,58.61,40.39,35.66,20.87,31.87,17.84,16.0,62.02,29.23,89.91,48.27,43.79,24.45,58.41
SPRING2296,68.3,164.93,42.26,93.28,90.38,94.75,110.2,57.49,37.31,33.96,19.17,30.1,16.99,14.23,54.71,25.78,78.32,49.61,37.13,21.76,56.95
SPRING2299,85.58,179.05,42.79,102.23,92.8,107.55,120.05,61.06,42.73,39.01,22.99,30.7,18.91,15.59,61.25,27.68,85.25,49.82,39.15,25.22,57.92
SPRING2305,86.11,165.63,42.84,108.42,100.07,106.06,121.79,64.1,41.44,39.22,21.56,30.52,18.07,14.73,52.63,24.46,74.83,48.92,38.21,24.46,57.75
SPRING2311,84.04,181.07,42.32,104.23,93.92,99.66,122.68,58.37,43.15,37.82,18.05,31.8,18.39,16.07,62.59,28.61,90.59,47.89,41.92,24.39,56.69
SPRING2312,106.04,198.19,46.74,105.11,106.41,111.67,123.74,62.72,43.55,40.6,23.93,33.35,20.23,17.29,64.44,30.4,96.47,51.76,46.7,25.42,61.35
SPRING2322,101.05,195.35,44.5,104.67,103.65,109.36,118.23,59.23,39.77,38.88,23.55,31.27,18.13,13.32,64.76,28.57,94.81,49.62,46.86,25.0,59.45
SPRING2324,87.26,171.84,42.56,110.56,89.3,101.74,128.76,63.68,43.78,39.59,23.08,33.85,19.39,16.74,55.04,26.43,80.0,47.44,39.09,26.09,58.26
SPRING2330,75.61,176.26,38.86,100.01,89.74,95.67,115.15,58.99,39.4,37.66,20.53,29.87,18.61,14.58,59.79,27.06,86.4,45.1,43.12,24.21,57.19
SPRING2331,82.46,184.01,40.95,103.09,83.83,101.18,118.93,59.24,40.08,37.15,22.43,31.92,18.98,16.4,62.9,29.04,88.04,50.48,42.13,24.82,56.94
SPRING2342,111.18,185.36,47.74,119.62,109.81,112.12,133.16,68.48,46.71,42.16,22.92,36.27,19.66,17.07,64.14,29.39,91.23,51.95,43.73,28.95,59.58
SPRING2343,81.12,168.28,40.36,107.54,92.09,98.52,118.5,59.04,41.61,38.0,20.3,29.54,17.29,14.98,54.96,25.12,78.63,48.08,39.04,26.08,59.99
SPRING2349,88.21,179.08,42.23,113.84,101.17,100.7,120.07,59.54,41.21,39.77,22.02,31.88,18.53,13.48,61.75,27.09,87.57,48.36,42.58,25.71,57.28
