bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2750,70.68,176.55,35.87,87.21,77.82,99.08,100.93,60.53,39.96,35.88,21.17,27.31,15.58,14.77,55.13,24.31,85.42,48.72,39.9,23.51,53.99
SPRING2751,68.69,160.04,38.73,102.97,86.6,102.16,103.49,59.69,39.24,33.81,19.94,25.5,15.3,13.41,52.27,23.41,75.21,41.95,35.08,27.49,56.8
SPRING2754,44.89,151.63,32.09,82.11,73.12,84.87,91.74,46.33,30.98,28.25,17.8,22.86,14.05,13.35,52.09,24.03,72.34,39.67,33.43,21.41,53.11
SPRING2755,51.72,153.72,34.99,83.18,73.15,89.57,97.59,53.2,38.09,35.01,19.6,24.62,15.39,12.8,47.02,21.02,71.44,38.74,32.11,20.28,55.64
SPRING2756,62.5,162.46,36.9,85.77,79.78,98.45,98.11,56.23,39.38,36.7,19.62,24.32,14.44,13.79,52.08,24.53,73.74,42.84,34.8,22.6,56.98
SPRING2757,69.79,151.59,41.02,98.04,94.71,102.46,109.46,57.22,41.58,35.94,19.33,26.99,16.1,14.39,49.61,22.75,68.12,39.51,32.47,27.56,56.18
SPRING2758,60.49,147.51,39.61,95.11,85.3,98.39,102.57,56.88,38.58,35.85,20.14,24.69,15.17,13.75,47.4,21.27,68.91,37.83,31.82,25.86,54.48
SPRING2760,67.69,150.51,42.5,106.19,91.26,100.16,110.17,56.99,39.69,37.95,20.59,27.49,16.33,14.07,51.5,23.82,71.14,37.5,33.28,27.69,55.63
SPRING2763,80.88,157.16,39.85,107.97,96.15,110.38,109.76,67.4,41.64,39.2,21.24,28.37,16.21,13.32,50.96,22.15,75.63,39.98,33.42,28.79,56.39
SPRING2764,54.16,153.22,34.62,84.86,74.26,92.55,96.69,54.11,39.43,34.32,19.11,24.34,14.65,13.28,49.64,23.48,74.2,36.65,34.13,21.78,56.4
SPRING2765,80.61,167.63,38.58,110.34,97.42,109.73,109.41,60.34,39.51,37.52,19.97,27.28,16.09,15.01,56.92,25.29,81.62,41.9,37.21,30.54,51.69
SPRING2766,174.21,164.65,52.26,142.79,138.45,156.18,137.09,94.69,60.71,57.14,28.83,34.43,19.71,14.59,58.83,25.46,71.31,39.96,36.13,40.25,58.26
SPRING2767,57.12,156.28,34.35,84.35,76.03,96.08,96.1,58.32,40.52,35.42,21.57,22.38,14.55,13.5,50.1,22.94,72.28,39.62,31.37,23.35,54.12
SPRING2768,62.16,161.66,37.84,86.41,79.96,94.54,104.2,56.83,40.85,37.7,20.44,25.28,15.46,13.52,52.01,23.36,76.86,42.04,35.4,21.09,54.57
