code,weight_kg,stature_cm,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length
J3G,75.6,181.5,98.2,82.1,96.3,114.9,62.3,28.3,88.9,47.3
J3J,108.2,178.5,118.2,111.0,114.3,125.3,61.0,27.4,86.6,50.8
J3K,58.3,154.3,92.2,81.9,97.7,98.3,51.0,22.7,72.3,40.3
J3V,64.5,178.4,90.7,74.1,89.4,107.6,62.0,28.4,89.1,45.1
J4D,71.1,184.2,95.9,79.4,92.8,112.7,63.6,28.7,92.4,46.3
J4T,62.7,165.1,90.3,80.3,95.6,103.7,56.1,25.2,80.1,43.5
J4V,63.6,169.4,92.0,78.3,90.3,108.5,56.8,25.4,81.1,44.3
J4W,76.9,162.5,102.7,93.4,108.1,107.2,53.8,24.2,77.5,43.3
J5B,93.3,171.1,113.0,104.5,110.0,118.1,57.4,25.7,81.4,47.8
J5D,84.3,182.4,103.6,89.4,100.4,118.6,62.1,28.2,90.1,48.0
J5H,96.7,184.0,108.3,98.3,107.9,122.1,63.4,28.7,90.3,49.5
J5V,104.2,180.6,116.9,105.8,111.1,125.3,60.5,27.3,86.8,49.3
J6J,57.4,160.5,88.6,76.7,95.2,100.3,53.5,23.9,76.8,40.4
J8B,95.0,186.0,109.2,100.2,105.0,121.3,64.0,28.7,90.7,49.9
J8E,57.1,160.1,85.7,76.1,95.1,98.4,53.8,24.2,77.7,40.5
J8K,77.8,180.7,98.6,84.4,97.3,113.3,61.8,27.7,90.3,46.8
J9T,100.2,184.0,113.3,102.3,108.3,122.9,63.6,28.7,90.9,50.5
K0F,81.8,183.5,101.8,86.5,99.1,117.4,62.8,28.7,90.4,48.8
K0U,108.4,180.2,118.8,110.5,112.5,125.9,60.5,27.7,87.7,50.2
K1B,87.9,184.8,105.4,91.9,102.2,119.5,64.7,28.9,91.5,48.7
K1G,92.5,164.1,113.2,110.2,116.3,115.4,53.7,23.8,76.2,47.4
K1H,76.3,162.2,102.7,94.2,109.4,106.8,53.6,23.9,76.0,43.8
K1P,64.5,156.9,94.3,88.3,100.8,102.6,52.4,22.7,74.2,41.3
K1R,71.9,159.2,99.8,93.8,106.8,102.7,52.3,23.3,75.5,43.0
K2A,100.6,172.8,116.5,109.6,111.4,121.7,58.7,25.9,82.4,49.6
K2D,100.6,171.6,115.5,107.5,111.9,123.0,56.3,25.6,81.0,48.6
K2F,64.4,176.3,92.8,76.8,89.5,109.3,59.5,26.5,86.0,45.8
K2H,102.1,173.9,116.7,111.0,113.2,121.1,57.5,26.0,81.1,50.2
K2J,59.3,156.2,89.3,78.2,99.8,99.4,51.7,22.7,73.2,40.5
K2R,51.4,160.6,85.1,72.0,88.7,96.4,53.9,23.4,78.0,42.0
K2V,67.6,155.7,96.5,88.8,103.4,102.6,51.7,22.8,72.8,41.7
K2W,67.0,177.5,92.2,76.8,91.6,109.6,60.6,27.4,87.8,45.7
K6E,55.2,156.1,87.9,78.0,94.8,96.8,50.8,22.1,73.8,40.5
K6G,89.5,164.7,111.9,108.8,113.9,112.8,53.4,23.4,75.7,46.5
K7E,51.1,152.4,85.2,74.1,91.6,95.1,49.6,21.7,72.1,38.8
K7K,98.3,182.9,113.3,102.0,109.4,121.8,62.8,28.4,88.8,48.9
K7U,62.6,168.9,89.2,78.0,92.5,106.1,57.6,25.8,82.9,44.1
K7Z,91.1,184.0,108.5,92.1,102.8,123.2,62.5,28.7,90.8,50.1
K8R,87.8,164.6,111.9,100.6,106.7,118.3,54.5,24.6,76.3,45.7
K8V,58.1,166.5,87.2,72.1,91.3,103.9,56.2,25.5,80.4,41.9
K8Z,79.6,181.4,99.8,86.6,96.7,116.5,61.8,28.3,89.8,48.1
K9E,57.1,164.5,85.0,74.0,91.4,100.9,55.1,24.9,79.9,41.9
N0F,59.1,169.2,87.1,75.2,92.0,102.1,57.4,25.8,83.5,42.8
N0H,68.4,175.6,93.6,78.1,91.3,111.2,60.1,27.3,86.7,46.4
N0N,65.4,156.4,96.5,87.4,102.3,101.6,51.3,22.6,74.1,42.7
N1A,73.7,183.1,96.9,82.0,94.6,113.2,62.4,28.3,90.4,48.1
N1Q,56.9,153.3,89.2,80.0,97.0,97.9,50.5,22.1,72.0,39.7
N1W,113.8,188.4,118.6,108.6,114.2,129.7,64.9,29.2,91.6,52.0
N1Z,92.1,182.2,109.0,96.1,104.0,121.5,63.1,28.6,90.3,48.4
N2K,101.8,182.8,113.4,106.6,108.8,122.4,63.6,28.6,90.5,49.8
N2Q,103.4,183.8,114.5,106.0,112.5,123.8,62.1,27.8,89.4,50.6
N2R,85.4,183.7,104.6,91.0,100.6,118.3,63.2,28.9,90.8,48.6
N2T,55.6,161.1,84.0,73.0,92.2,99.0,54.3,24.7,79.2,40.3
N2V,107.7,184.3,117.3,107.2,111.3,126.2,63.2,28.7,90.8,50.3
N2W,72.6,180.9,96.8,83.6,93.6,110.8,61.5,27.9,88.6,46.9
N3F,53.9,160.2,86.7,73.4,92.0,97.2,52.6,23.5,76.3,41.5
N3J,104.8,177.0,117.4,112.1,113.8,123.8,59.4,26.8,85.1,50.8
N4F,108.2,180.4,117.4,108.7,112.8,127.4,63.3,28.6,88.7,50.0
N4T,70.0,157.1,101.7,95.8,104.8,103.8,52.0,23.3,73.5,43.5
N5K,52.9,159.4,83.9,71.0,91.4,95.6,52.8,22.8,75.3,40.8
N5V,55.3,154.0,89.2,78.9,94.5,97.5,50.5,22.0,72.5,40.5
N6F,110.3,181.7,120.0,112.4,114.2,125.9,62.9,28.7,88.6,52.8
N7Z,100.2,170.3,117.5,112.1,113.3,121.3,56.2,25.4,78.9,49.7
N8F,50.0,153.3,82.3,69.4,88.6,94.3,50.1,22.6,73.0,38.7
N9F,118.2,186.8,122.7,111.1,116.7,130.9,64.8,30.3,92.3,50.4
N9J,48.1,156.4,82.2,69.2,89.7,93.3,51.4,23.0,74.0,40.5
N9Q,85.1,160.0,109.3,103.6,114.2,110.7,52.1,23.0,73.5,44.5
N9V,97.6,164.5,118.7,107.6,114.8,119.3,53.7,23.8,77.4,48.4
P0K,69.4,173.6,95.2,80.0,93.0,111.7,59.5,27.4,83.9,46.1
P1H,81.9,165.2,105.3,103.0,111.0,108.0,55.5,24.7,78.2,44.3
P1R,97.3,172.6,114.9,107.9,109.2,121.2,57.8,26.1,82.2,47.8
P1V,78.1,162.9,103.7,99.8,105.9,111.2,54.0,24.0,76.4,45.5
P2C,71.3,160.0,99.7,91.3,107.4,101.9,53.1,23.7,76.1,41.2
P2W,89.6,166.7,110.7,104.1,109.5,118.5,54.7,24.7,78.7,46.9
P3N,67.2,173.5,93.3,77.6,91.1,108.6,59.3,26.9,85.3,45.6
P4A,91.2,184.7,106.9,90.7,103.8,121.8,63.9,28.8,91.2,49.6
P4P,60.2,173.3,89.4,75.0,88.3,106.2,57.6,25.8,82.9,45.8
